,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,lng,lat,Location,PdId,zip_code,18-24 Total,18-24 Less than high school graduate,18-24 High school graduate,18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25 Total,25 Less than 9th grade,25 9th to 12th grade,25 High school graduate,"25 Some college, no degree",25 Associate's degree,25 Bachelor's degree,25 Graduate or professional degree,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Median household income,Mean household income,Median family income,Mean family income,Per capita income,Median nonfamily income,Mean nonfamily income,Median earnings for workers,Civilian noninstitutionalized population,With health insurance coverage,No health insurance coverage
0,180362289,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,05/15/2018,10:30,SOUTHERN,NONE,700 Block of TEHAMA ST,-122.41191202732875,37.77520656149669,POINT (-122.41191202732877 37.77520656149669),18036228907023,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
1,180360835,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,05/15/2018,01:25,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.41004163181594,37.78195365372572,POINT (-122.41004163181597 37.781953653725715),18036083503074,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
2,180360835,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,05/15/2018,01:25,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.41004163181594,37.78195365372572,POINT (-122.41004163181597 37.781953653725715),18036083516710,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
3,180360700,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,05/14/2018,21:30,SOUTHERN,NONE,11TH ST / FOLSOM ST,-122.41402726269041,37.77186361771543,POINT (-122.4140272626904 37.77186361771543),18036070006244,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
4,180360465,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,05/14/2018,20:42,SOUTHERN,NONE,1100 Block of MISSION ST,-122.41283433212864,37.777790309424574,POINT (-122.41283433212864 37.77779030942458),18036046528150,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
5,180360352,ROBBERY,"ROBBERY, BODILY FORCE",Monday,05/14/2018,20:01,SOUTHERN,NONE,NATOMA ST / 9TH ST,-122.41372136556808,37.77543682424624,POINT (-122.4137213655681 37.775436824246235),18036035203074,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
6,180360255,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,05/14/2018,19:47,MISSION,"ARREST, BOOKED",16TH ST / VALENCIA ST,-122.4218863579807,37.76491789094235,POINT (-122.42188635798068 37.76491789094235),18036025565010,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
7,180360255,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,05/14/2018,19:47,MISSION,"ARREST, BOOKED",16TH ST / VALENCIA ST,-122.4218863579807,37.76491789094235,POINT (-122.42188635798068 37.76491789094235),18036025565015,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
8,180360158,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,05/14/2018,19:05,MISSION,NONE,16TH ST / VALENCIA ST,-122.4218863579807,37.76491789094235,POINT (-122.42188635798068 37.76491789094235),18036015807020,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
9,180360158,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Monday,05/14/2018,19:05,MISSION,NONE,16TH ST / VALENCIA ST,-122.4218863579807,37.76491789094235,POINT (-122.42188635798068 37.76491789094235),18036015811012,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
